date;source;avg;moving-avg
1958-01-12;NES;73;73
1964-10-15;NES;77;77
1966-01-12;NES;65;65
1968-10-15;NES;62;62
1970-01-12;NES;54;54
1972-10-15;NES;53;53
1974-01-12;NES;36;36
1976-01-03;GALLUP;33;34
1976-05-09;CBS/NYT;40;35
1976-06-15;CBS/NYT;33;35
1976-08-02;CBS/NYT;36;35
1976-10-15;NES;33;36
1977-04-25;CBS/NYT;35;34
1977-10-23;CBS/NYT;33;32
1978-01-12;NES;29;31
1979-03-11;CBS/NYT;30;28
1980-07-11;CBS/NYT;39;32
1980-10-15;NES;25;30
1980-12-03;CBS/NYT;26;27
1982-01-12;NES;33;39
1984-10-15;NES;44;41
1984-11-14;CBS/NYT;46;44
1985-02-22;ABC/POST;43;45
1985-02-27;CBS/NYT;46;42
1985-03-21;ABC/POST;37;40
1985-06-11;CBS/NYT;49;43
1985-07-29;ABC/POST;38;42
1986-01-12;NES;39;44
1986-01-19;CBS/NYT;42;44
1986-09-09;ABC/POST;40;44
1986-11-30;CBS/NYT;49;43
1987-01-03;CBS/NYT;42;44
1987-01-06;ABC/POST;47;43
1987-01-19;ABC/POST;44;42
1987-01-21;CBS/NYT;43;43
1987-10-18;CBS/NYT;41;43
1988-01-23;ABC/POST;39;40
1988-10-11;CBS/NYT;44;43
1988-10-15;NES;41;41
1989-01-15;CBS/NYT;44;41
1989-06-29;CBS/NYT;35;39
1990-01-12;NES;28;33
1990-01-16;ABC/POST;38;38
1990-06-09;ABC/POST;42;35
1990-10-28;CBS/NYT;25;32
1991-01-03;ABC/POST;45;46
1991-01-27;ABC/POST;46;40
1991-06-03;CBS/NYT;47;42
1991-10-20;ABC/POST;35;35
1992-08-06;GALLUP;23;29
1992-10-15;NES;29;25
1992-10-23;CBS/NYT;22;25
1993-01-14;CBS/NYT;24;25
1993-01-17;ABC/POST;28;25
1993-03-24;GALLUP;22;25
1994-01-12;NES;22;21
1994-01-20;ABC/POST;24;22
1994-01-30;GALLUP;19;20
1994-06-06;GALLUP;17;19
1994-10-23;ABC/POST;22;20
1994-10-29;CBS/NYT;22;22
1995-02-22;CBS/NYT;18;21
1995-03-19;ABC/POST;22;20
1995-05-08;CBS/NYT;20;21
1995-07-08;GALLUP;22;22
1995-11-19;ABC/POST;25;27
1996-02-11;CBS/NYT;25;27
1996-06-05;ABC/POST;34;29
1996-10-15;NES;33;28
1996-12-05;GALLUP;27;31
1997-01-06;GALLUP;32;26
1997-01-14;CBS/NYT;23;27
1997-08-27;ABC/POST;22;31
1997-10-31;PEW;39;31
1998-01-02;GALLUP;39;33
1998-01-11;CBS/NYT;24;26
1998-01-12;NES;40;33
1998-01-19;ABC/POST;31;32
1998-01-25;CBS/NYT;26;32
1998-02-22;PEW;34;35
1998-10-08;ABC/POST;34;31
1998-10-26;CBS/NYT;26;28
1998-11-15;PEW;26;30
1999-02-21;PEW;31;31
1999-03-01;CBS/NYT;33;37
1999-03-10;CBS/NYT;30;36
1999-04-02;GALLUP;33;34
1999-05-16;PEW;31;33
1999-09-14;CBS/NYT;38;33
1999-10-01;CBS/NYT;37;34
1999-12-02;ABC/POST;32;32
2000-02-04;ABC/POST;31;38
2000-02-14;PEW;40;34
2000-09-07;GALLUP;42;39
2000-10-15;NES;44;42
2000-10-31;CBS/NYT;40;38
2001-01-17;CBS/NYT;31;44
2001-06-10;GALLUP;60;49
2001-07-12;CBS/NYT;48;49
2001-10-25;CBS/NYT;55;54
2002-01-24;CBS/NYT;46;46
2002-02-09;CBS/NYT;38;40
2002-04-09;GALLUP;46;46
2002-06-17;GALLUP;44;43
2002-07-13;CBS/NYT;38;40
2002-10-15;NES;55;46
2003-07-27;CBS/NYT;36;43
2003-10-26;GALLUP;37;36
2004-03-21;PEW;36;38
2004-07-15;CBS/NYT;40;41
2004-10-15;NES;46;39
2005-02-12;CBS/NYT;32;32
2005-06-19;GALLUP;30;35
2005-09-09;CBS/NYT;29;30
2005-11-09;PEW;31;31
2006-01-20;CBS/NYT;32;33
2006-05-02;PEW;34;31
2006-06-01;GALLUP;32;32
2006-08-10;CBS/NYT;29;29
2006-09-15;CBS/NYT;28;30
2007-09-01;PEW;31;28
2007-09-07;CBS/NYT;24;24
2008-10-13;CBS/NYT;17;24
2008-10-15;NES;31;24
2008-12-21;CNN;26;25
2009-08-31;CBS/NYT;24;22
2009-12-06;CBS/NYT;20;23
2009-12-20;CNN;20;21
2010-01-09;CNN;25;23
2010-01-10;CBS/NYT;18;21
2010-03-21;PEW;22;24
2010-05-02;CBS/NYT;19;21
2010-05-04;PEW;25;22
2010-05-04;CBS/NYT;20;23
2010-06-09;PEW;24;23
2010-10-01;GALLUP;19;20
2010-10-21;CBS/NYT;22;23
2010-12-02;CNN;26;22
2011-02-28;PEW;29;23
2011-04-10;PEW;20;15
2011-08-21;PEW;19;21
2011-09-23;CNN;15;18
2011-10-19;CBS/NYT;10;17
2012-10-31;NES;22;19
2013-01-13;PEW;26;23
2013-05-31;CBS/NYT;20;20
2013-06-02;CBS/NYT;20;22
2013-10-13;PEW;19;19
2013-11-15;CBS/NYT;17;20
2014-02-26;PEW;24;18
2014-07-20;CNN;14;19
2015-04-10;PEW;19;18
2017-04-12;PEW;18;18
2017-11-04;PEW;20;19
2019-03-25;PEW;17;17
2020-02-08;PEW;20;24
2020-12-04;PEW;27;21
2021-11-04;PEW;24;24
